n,insertDuration,searchDuration,startsWithDuration,getAllWithPrefixDuration
6981,9417,2875,666,19834
6991,8750,2750,666,21416
7001,9375,2625,625,22333
7011,8000,2625,667,20208
7021,9792,2667,708,18917
7031,9875,2917,958,12208
7041,9333,2833,666,15791
7051,9500,2917,1042,23833
7061,9458,2667,875,26083
7071,8708,2875,875,28750
7081,12291,2833,1042,25000
7091,8375,2792,708,25417
7101,9750,2666,667,14333
7111,8958,2667,834,26958
7121,15000,2542,708,13792
7131,10792,2583,667,19000
7141,8708,2458,708,25875
7151,8834,2583,667,28333
7161,9375,2584,708,24875
7171,9417,2667,708,22375
7181,8291,2542,667,18917
7191,10584,2958,833,22917
7201,9333,2875,709,23667
7211,9750,2750,792,23666
7221,9292,2875,875,24917
7231,9833,2833,875,29750
7241,8667,2750,1083,25416
7251,12416,3541,1125,18291
7261,9375,2792,958,30041
7271,11541,2791,1125,30875
7281,12709,3542,1291,24834
7291,9083,2875,1042,21417
7301,9000,3083,1041,32834
7311,9333,2792,1125,17292
7321,9334,2584,1041,23542
7331,9959,2750,1125,16584
7341,11125,2708,1083,16834
7351,9833,2833,1125,30708
7361,8584,2750,1000,30500
7371,9458,2625,1125,13500
7381,11417,3500,1125,23916
7391,8584,2625,1041,26208
7401,9458,2833,875,22542
7411,11000,2667,1000,26500
7421,9291,2875,1167,15042
7431,8250,2917,917,35625
7441,10334,4208,1375,20792
7451,8375,2750,875,17625
7461,9625,2792,833,33583
7471,9584,2958,916,16542
7481,9084,2708,1167,20250
7491,9000,3042,833,20792
7501,8625,2750,1000,16584
7511,8500,2500,667,25916
7521,8625,2708,833,27542
7531,9375,2583,750,23542
7541,10750,2542,625,23417
7551,12125,2875,875,23708
7561,9458,2792,1208,16958
7571,8416,2792,666,22916
7581,9500,2708,709,27417
7591,8417,2750,708,20792
7601,14083,2875,959,27042
7611,9500,2791,1041,28458
7621,8959,2750,1000,22042
7631,9875,2917,1166,25333
7641,8625,2708,1167,27750
7651,9834,2875,1166,21583
7661,9375,2542,1125,19083
7671,9750,2916,1041,23709
7681,8625,2958,959,27792
7691,8666,2875,917,37333
7701,9084,2958,834,22833
7711,8666,2792,708,21916
7721,10792,2791,791,25167
7731,10667,2959,708,25125
7741,9500,2875,750,17917
7751,9625,2584,792,18375
7761,9458,2750,625,19500
7771,9667,3167,667,19333
7781,8541,2875,792,21000
7791,9542,2917,1000,19209
7801,8791,3000,1042,18250
7811,9250,2750,750,26875
7821,8625,2750,750,26917
7831,8542,2625,750,29667
7841,9166,2584,625,20916
7851,9500,2792,667,19292
7861,9459,3250,834,13542
7871,9417,2917,917,13958
7881,9750,2667,750,21959
7891,9792,2667,708,25833
7901,8625,2917,792,25875
